id,titulo,marca,modelo,ano,condicao,preco_valor,preco_moeda,loja,url
98101673,Gibson SJ-200 Studio Walnut Acoustic-Electric Natural 2025,Gibson,Gibson SJ-200 Studio Walnut -Electric,2025,Good,2419.00,USD,The Music Zoo,https://reverb.com/item/98101673-gibson-sj-200-studio-walnut-acoustic-electric-natural-2025
98821932,Gibson '60s J-45 Original Wine Red,Gibson,Gibson '60s J-45 Original Wine Red,,Mint,2549.89,USD,Sam Ash Music Direct,https://reverb.com/item/98821932-gibson-60s-j-45-original-wine-red
82907458,Gibson Hummingbird Original Left-Handed Heritage Cherry Sunburst,Gibson,Gibson Hummingbird Original Left-Handed,,Brand New,3999.00,USD,The Music Zoo,https://reverb.com/item/82907458-gibson-hummingbird-original-left-handed-heritage-cherry-sunburst
71172400,Gibson Hummingbird Standard Vintage Sunburst w/case,Gibson,Gibson Standard Sunburst w/case,,Brand New,3999.00,USD,Tone Shop Guitars,https://reverb.com/item/71172400-gibson-hummingbird-standard-vintage-sunburst-w-case
99339674,Gibson Hummingbird Standard - Vintage Sunburst,Gibson,Gibson Hummingbird Standard - Vintage Sunburst,,Brand New,3999.00,USD,Music Villa,https://reverb.com/item/99339674-gibson-hummingbird-standard-vintage-sunburst
86301722,Gibson Hummingbird Standard - Vintage Sunburst,Gibson,Gibson Hummingbird Standard - Vintage Sunburst,,Brand New,3999.00,USD,Dave's Guitar Shop,https://reverb.com/item/86301722-gibson-hummingbird-standard-vintage-sunburst
78737681,Gibson Hummingbird Standard Vintage Sunburst w/case,Gibson,Gibson Standard Sunburst w/case,,Brand New,3999.00,USD,Tone Shop Guitars,https://reverb.com/item/78737681-gibson-hummingbird-standard-vintage-sunburst-w-case
86326519,Gibson Hummingbird Standard - Vintage Sunburst,Gibson,Gibson Hummingbird Standard - Vintage Sunburst,,Brand New,3999.00,USD,Dave's Guitar Shop,https://reverb.com/item/86326519-gibson-hummingbird-standard-vintage-sunburst
78350966,Gibson J-45 Standard 12-String - Vintage Sunburst,Gibson,Gibson J-45 Standard 12-String - Vintage Sunburst,,Brand New,3499.00,USD,Dave's Guitar Shop,https://reverb.com/item/78350966-gibson-j-45-standard-12-string-vintage-sunburst
78408863,Gibson J-45 Standard 12-String,Gibson,Gibson J-45 Standard 12-String,,Brand New,3499.00,USD,Dave's Guitar Shop,https://reverb.com/item/78408863-gibson-j-45-standard-12-string
100148577,Gibson Custom Shop 1942 Banner J-45 Vintage Sunburst (011),Gibson,Gibson Custom Shop 1942 Banner J-45 Vintage Sunburst (011),,Brand New,4999.00,USD,Willcutt Guitars,https://reverb.com/item/100148577-gibson-custom-shop-1942-banner-j-45-vintage-sunburst-011
83543425,Gibson Custom Shop 1942 Banner J-45 Vintage Sunburst 4.00 LBS,Gibson,Gibson Custom Shop 1942 Banner J-45 Vintage Sunburst 4.00 LBS,2022,Brand New,4999.00,USD,Wild West Guitars,https://reverb.com/item/83543425-gibson-custom-shop-1942-banner-j-45-vintage-sunburst-4-00-lbs
100148572,Gibson Custom Shop 1942 Banner J-45 Vintage Sunburst (044),Gibson,Gibson Custom Shop 1942 Banner J-45 Vintage Sunburst (044),,Brand New,4999.00,USD,Willcutt Guitars,https://reverb.com/item/100148572-gibson-custom-shop-1942-banner-j-45-vintage-sunburst-044
83543778,Gibson Custom Shop 1942 Banner J-45 Vintage Sunburst 3.80LBS,Gibson,Gibson Custom Shop 1942 Banner J-45 Vintage Sunburst 3.80 LBS,2023,Brand New,4999.00,USD,Wild West Guitars,https://reverb.com/item/83543778-gibson-custom-shop-1942-banner-j-45-vintage-sunburst-3-80lbs
85369181,Gibson Everly Brothers J-180 Ebony (104),Gibson,Gibson Everly Brothers J-180 Ebony (104),,Brand New,4999.00,USD,Willcutt Guitars,https://reverb.com/item/85369181-gibson-everly-brothers-j-180-ebony-104
100143612,Gibson 1929 Nick Lucas Special Acoustic Guitar Argentine Grey Light Aged,Gibson,Gibson Nick Lucas Special Guitar Light Aged,,Brand New,9999.00,USD,The Music Zoo,https://reverb.com/item/100143612-gibson-1929-nick-lucas-special-acoustic-guitar-argentine-grey-light-aged
88622385,Gibson SJ-200 Standard Maple Tri Burst w/case,Gibson,Gibson SJ-200 Standard Maple Tri Burst w/case,,Brand New,5699.00,USD,Tone Shop Guitars,https://reverb.com/item/88622385-gibson-sj-200-standard-maple-tri-burst-w-case
100148566,Gibson 50s J-45 Original Vintage Sunburst (011),Gibson,Gibson 50s J-45 Original Vintage Sunburst (011),,Brand New,3199.00,USD,Willcutt Guitars,https://reverb.com/item/100148566-gibson-50s-j-45-original-vintage-sunburst-011
37522784,Gibson '50s J-45 Original Vintage Ebony,Gibson,Gibson '50s J-45 Original,,Brand New,3199.00,USD,Detroit Guitar,https://reverb.com/item/37522784-gibson-50s-j-45-original-vintage-ebony
99554711,Gibson J-45 Standard - Vintage Sunburst,Gibson,Gibson J-45 Standard - Vintage Sunburst,,Brand New,2999.00,USD,Music Villa,https://reverb.com/item/99554711-gibson-j-45-standard-vintage-sunburst
94599009,Gibson LG-2 50s Original in Vintage Sunburst #23085003,Gibson,Gibson LG-2 50s Original in #23085003,,Brand New,3168.01,USD,Wildwire Guitars,https://reverb.com/item/94599009-gibson-lg-2-50s-original-in-vintage-sunburst-23085003
92894112,"Gibson L-5 1948 Electro Archtop Guitar, Sunburst, Original Hard Case",Gibson,Gibson L-5,1948,Very Good,16900.86,USD,Absolute Music UK,https://reverb.com/item/92894112-gibson-l-5-1948-electro-archtop-guitar-sunburst-original-hard-case
78319506,Gibson SJ-200 Original in Vintage Sunburst #23203057,Gibson,Gibson SJ-200 Original in #23203057,,Brand New,5867.67,USD,Wildwire Guitars,https://reverb.com/item/78319506-gibson-sj-200-original-in-vintage-sunburst-23203057
73468393,Gibson Southern Jumbo Original in Vintage Sunburst #22013030,Gibson,Gibson Southern Jumbo Original in #22013030,,Brand New,3520.14,USD,Wildwire Guitars,https://reverb.com/item/73468393-gibson-southern-jumbo-original-in-vintage-sunburst-22013030
96237823,Gibson Vintage 1968 Blue Ridge Dreadnought Acoustic Guitar w/ Hard Case,Gibson,Gibson Blue Ridge Dreadnaught Guitar w/ Hard Case,1968,Very Good,2108.99,USD,DeMont Guitars,https://reverb.com/item/96237823-gibson-vintage-1968-blue-ridge-dreadnought-acoustic-guitar-w-hard-case
85945455,CHITARRA ACUSTICA GIBSON SJ-200 Original  Antique Natural,Gibson,GIBSON,,Brand New,5921.45,USD,Firefly Audio,https://reverb.com/item/85945455-chitarra-acustica-gibson-sj-200-original-antique-natural
85945440,CHITARRA ACUSTICA GIBSON Orianthi SJ-200,Gibson,GIBSON,,Brand New,7209.00,USD,Firefly Audio,https://reverb.com/item/85945440-chitarra-acustica-gibson-orianthi-sj-200
82739197,Gibson 1957 SJ-200 - Vintage Sunburst,Gibson,Gibson 1957 SJ-200 - Vintage Sunburst,,Brand New,6299.00,USD,Dave's Guitar Shop,https://reverb.com/item/82739197-gibson-1957-sj-200-vintage-sunburst
85842410,Gibson 1957 SJ-200 - Antique Natural,Gibson,Gibson 1957 SJ-200 - Antique Natural,,Brand New,6299.00,USD,Dave's Guitar Shop,https://reverb.com/item/85842410-gibson-1957-sj-200-antique-natural
96560082,Gibson Pre-War SJ-200 Rosewood VOS in Vintage Sunburst,Gibson,Gibson,2026,Brand New,7499.00,USD,Casino Guitars,https://reverb.com/item/96560082-gibson-pre-war-sj-200-rosewood-vos-in-vintage-sunburst
91941239,Gibson Pre-War SJ-200 -  Rosewood,Gibson,Gibson Pre-War SJ-200 -  Rosewood,,Brand New,7499.00,USD,Music Villa,https://reverb.com/item/91941239-gibson-pre-war-sj-200-rosewood
85645729,Gibson 1939 J-55 in Faded Vintage Sunburst #21474003,Gibson,Gibson J-55 in Faded #21474003,,Brand New,5046.03,USD,Wildwire Guitars,https://reverb.com/item/85645729-gibson-1939-j-55-in-faded-vintage-sunburst-21474003
99408604,Gibson L-00 Century 12-Fret - Vintage Amber,Gibson,Gibson L-00 Century 12-Fret -,,Brand New,2299.00,USD,Cream City Music,https://reverb.com/item/99408604-gibson-l-00-century-12-fret-vintage-amber
92368792,"Gibson Custom Shop Pre-War SJ-200 Rosewood, Murphy Lab Light Aged - Faded Vintage Sunburst 22295003",Gibson,"Gibson Custom Pre-War SJ-200 Rosewood, Light Aged",,Brand New,7799.00,USD,The Guitar Store at Quimper Sound Records,https://reverb.com/item/92368792-gibson-custom-shop-pre-war-sj-200-rosewood-murphy-lab-light-aged-faded-vintage-sunburst-22295003
88733261,Gibson Acoustic Custom Shop 1936 Advanced Jumbo Vintage Sunburst 4.40 LBS,Gibson,Gibson Acoustic Custom Shop 1936 Advanced Jumbo Vintage Sunburst 4.40 LBS,2025,Brand New,5499.00,USD,Wild West Guitars,https://reverb.com/item/88733261-gibson-acoustic-custom-shop-1936-advanced-jumbo-vintage-sunburst-4-40-lbs
84636198,Gibson 1936 Advanced Jumbo - Vintage Sunburst,Gibson,Gibson 1936 Advanced Jumbo - Vintage Sunburst,,Brand New,5499.00,USD,Dave's Guitar Shop,https://reverb.com/item/84636198-gibson-1936-advanced-jumbo-vintage-sunburst
99618601,"Gibson SJ-200 Original, Vintage Sunburst, W/ Hardshell Case",Gibson,"Gibson SJ-200 Original, , W/ Hardshell Case",,Brand New,5699.00,USD,Gelb Music's Reverb Store,https://reverb.com/item/99618601-gibson-sj-200-original-vintage-sunburst-w-hardshell-case
80100430,Gibson SJ-200 Original Vintage Sunburst w/case,Gibson,Gibson SJ-200 Original w/case,,Brand New,5699.00,USD,Tone Shop Guitars,https://reverb.com/item/80100430-gibson-sj-200-original-vintage-sunburst-w-case
97222155,Gibson SJ-200 60’s Original - Vintage Sunburst,Gibson,Gibson SJ-200 60’s Original - Vintage Sunburst,,Brand New,5699.00,USD,Music Villa,https://reverb.com/item/97222155-gibson-sj-200-60-s-original-vintage-sunburst
78737684,Gibson SJ-200 Original Vintage Sunburst w/case,Gibson,Gibson SJ-200 Original w/case,,Brand New,5699.00,USD,Tone Shop Guitars,https://reverb.com/item/78737684-gibson-sj-200-original-vintage-sunburst-w-case
100148570,Gibson J-160E Original Vintage Sunburst (012),Gibson,Gibson J-160E Original Vintage Sunburst (012),,Brand New,3999.00,USD,Willcutt Guitars,https://reverb.com/item/100148570-gibson-j-160e-original-vintage-sunburst-012
96688508,Gibson LG-2 50’s Original - Antique Natural,Gibson,Gibson LG-2 50’s Original - Antique Natural,,Brand New,2999.00,USD,Music Villa,https://reverb.com/item/96688508-gibson-lg-2-50-s-original-antique-natural
93517343,Gibson J-185 Original - Vintage Sunburst,Gibson,Gibson J-185 Original - Vintage Sunburst,,Brand New,3999.00,USD,Music Villa,https://reverb.com/item/93517343-gibson-j-185-original-vintage-sunburst
99294227,"Gibson Hummingbird Original Acoustic/ Electric Guitar, Heritage Cherry Sunburst W/Case",Gibson,"Gibson Hummingbird Original Acoustic/ Electric Guitar, W/Case",,Brand New,3999.00,USD,Gelb Music's Reverb Store,https://reverb.com/item/99294227-gibson-hummingbird-original-acoustic-electric-guitar-heritage-cherry-sunburst-w-case
90049355,Gibson Original Acoustic Hummingbird Original Electric-Acoustic LR Baggs VTC Pickup Antique Natural 4.40 lbs,Gibson,Gibson Original Acoustic Hummingbird Original Electric-Acoustic LR Baggs VTC Pickup Antique Natural 4.40 lbs,2025,Brand New,3999.00,USD,Wild West Guitars,https://reverb.com/item/90049355-gibson-original-acoustic-hummingbird-original-electric-acoustic-lr-baggs-vtc-pickup-antique-natural-4-40-lbs
91268751,Gibson J-185 Original Vintage Sunburst w/case,Gibson,Gibson J-185 Original w/case,,Brand New,3999.00,USD,Tone Shop Guitars,https://reverb.com/item/91268751-gibson-j-185-original-vintage-sunburst-w-case
98821856,Gibson J 185 Original Acoustic Electric Guitar Vintage Sunburst,Gibson,Gibson J 185 Original Acoustic Electric Guitar Vintage Sunburst,,Mint,3399.89,USD,Sam Ash Music Direct,https://reverb.com/item/98821856-gibson-j-185-original-acoustic-electric-guitar-vintage-sunburst
100148568,Gibson Custom Shop 1960 Hummingbird Fixed Bridge Heritage Cherry (011),Gibson,Gibson Custom Shop 1960 Hummingbird Fixed Bridge Heritage Cherry (011),,Brand New,5199.00,USD,Willcutt Guitars,https://reverb.com/item/100148568-gibson-custom-shop-1960-hummingbird-fixed-bridge-heritage-cherry-011
92484549,Gibson L-00 Original,Gibson,Gibson L-00 Original,,Brand New,2999.00,USD,Music Villa,https://reverb.com/item/92484549-gibson-l-00-original
90968056,Gibson 1960 Hummingbird Fixed Bridge Left Hand - Heritage Cherry Sunburst,Gibson,Gibson 1960 Hummingbird Fixed Bridge Left Hand - Heritage Cherry Sunburst,,Brand New,5199.00,USD,Dave's Guitar Shop,https://reverb.com/item/90968056-gibson-1960-hummingbird-fixed-bridge-left-hand-heritage-cherry-sunburst
93273997,Gibson L-00 Special Acoustic Electric Guitar - Satin Vintage Sunburst,Gibson,Gibson L00 Special Acoustic Electric Guitar - Satin Vintage Sunburst,,Brand New,2812.01,USD,DW Music ,https://reverb.com/item/93273997-gibson-l-00-special-acoustic-electric-guitar-satin-vintage-sunburst
91075463,Gibson SJ-200 Custom - Ebony,Gibson,Gibson SJ-200 Custom - Ebony,,Brand New,7499.00,USD,Dave's Guitar Shop,https://reverb.com/item/91075463-gibson-sj-200-custom-ebony
98822040,Gibson L-00 Special-Satin Natural,Gibson,Gibson L-00 Special-Satin Natural,,Mint,1699.89,USD,Sam Ash Music Direct,https://reverb.com/item/98822040-gibson-l-00-special-satin-natural
99406249,Gibson LG-2 All Mahogany Faded Natural (011),Gibson,Gibson LG-2 All Mahogany Faded Natural (011),,Brand New,2399.00,USD,Willcutt Guitars,https://reverb.com/item/99406249-gibson-lg-2-all-mahogany-faded-natural-011
96086081,Gibson Modern Collection L-00 Special,Gibson,Gibson Modern Collection L-00 Special,,Brand New,1999.00,USD,Wildwood Guitars,https://reverb.com/item/96086081-gibson-modern-collection-l-00-special
96550653,Gibson - L-00 Special - Acoustic-Electric Guitar - Satin Vintage Sunburst - with  Premium Softshell Case - x6061,Gibson,Gibson - L-00 Special - -Electric Guitar - - w/ Premium Softshell Case - x6061,,Brand New,1999.00,USD,Manchester Music Mill,https://reverb.com/item/96550653-gibson-l-00-special-acoustic-electric-guitar-satin-vintage-sunburst-with-premium-softshell-case-x6061
85888592,Gibson Hummingbird Standard EC Heritage Cherry Sunburst w/case,Gibson,Gibson Hummingbird Standard EC Heritage Cherry Sunburst w/case,,Brand New,3999.00,USD,Tone Shop Guitars,https://reverb.com/item/85888592-gibson-hummingbird-standard-ec-heritage-cherry-sunburst-w-case
95596437,Gibson J-45 Special Satin Natural w/Softcase,Gibson,Gibson J-45 Special Satin Natural w/Softcase,,Brand New,1999.00,USD,Tone Shop Guitars,https://reverb.com/item/95596437-gibson-j-45-special-satin-natural-w-softcase
99259351,Gibson J-45 Special Satin Wine Red w/softcase,Gibson,Gibson J-45 Special Satin Wine Red w/softcase,,Brand New,1999.00,USD,Tone Shop Guitars,https://reverb.com/item/99259351-gibson-j-45-special-satin-wine-red-w-softcase
96583502,Gibson J-45 Special Acoustic Guitar - Satin Natural,Gibson,Gibson J-45 Special Guitar -,,Brand New,1999.00,USD,Musiciansbuy,https://reverb.com/item/96583502-gibson-j-45-special-acoustic-guitar-satin-natural
98821930,Gibson Parlor Rosewood EC Rosewood Burst Acoustic Electric Guitar,Gibson,Gibson Parlor Rosewood EC Rosewood Burst Acoustic Electric Guitar,,Mint,2549.89,USD,Sam Ash Music Direct,https://reverb.com/item/98821930-gibson-parlor-rosewood-ec-rosewood-burst-acoustic-electric-guitar
81942033,Gibson 1942 Banner LG-2 in Vintage Sunburst #20214058,Gibson,Gibson Banner LG-2 in #20214058,,Brand New,4693.90,USD,Wildwire Guitars,https://reverb.com/item/81942033-gibson-1942-banner-lg-2-in-vintage-sunburst-20214058
70645227,Gibson J-45 Faded 50s - Vintage Sunburst,Gibson,Gibson J-45 Faded 50s -,,Brand New,2507.38,USD,Oxbow Audio Lab,https://reverb.com/item/70645227-gibson-j-45-faded-50s-vintage-sunburst
89363483,Gibson Elvis SJ-200 Ebony (013),Gibson,Gibson Elvis SJ-200 Ebony (013),,Brand New,5499.00,USD,Willcutt Guitars,https://reverb.com/item/89363483-gibson-elvis-sj-200-ebony-013
61716141,Gibson - J-45 50's Faded - Acoustic-Electric Guitar - Faded Vintage Sunburst - with  Hardshell Case (OCRS4FVS-1),Gibson,Gibson - J-45 50's Faded - Acoustic,,Brand New,2499.00,USD,Manchester Music Mill,https://reverb.com/item/61716141-gibson-j-45-50-s-faded-acoustic-electric-guitar-faded-vintage-sunburst-with-hardshell-case-ocrs4fvs-1
96113359,Gibson Elvis Dove Electro Acoustic Guitar with Hard Case,Gibson,Gibson Elvis Dove,,Very Good,4787.57,USD,Absolute Music UK,https://reverb.com/item/96113359-gibson-elvis-dove-electro-acoustic-guitar-with-hard-case
74739310,Gibson G-Bird Natural (013),Gibson,Gibson G-Bird Natural (013),,Brand New,1799.00,USD,Willcutt Guitars,https://reverb.com/item/74739310-gibson-g-bird-natural-013
85634415,Gibson Elvis SJ-200 - Ebony,Gibson,Gibson Elvis SJ-200 - Ebony,,Brand New,5499.00,USD,Dave's Guitar Shop,https://reverb.com/item/85634415-gibson-elvis-sj-200-ebony
93514485,Gibson Custom Shop Keb' Mo' 3.0 Vintage Sunburst (032),Gibson,Gibson Custom Shop Keb' Mo' 3.0 Vintage Sunburst (032),,Brand New,4299.00,USD,Willcutt Guitars,https://reverb.com/item/93514485-gibson-custom-shop-keb-mo-3-0-vintage-sunburst-032
97890957,Gibson J-45 50s Faded Round Shoulder Acoustic Electric Guitar W/Case,Gibson,Gibson J-45 50s Faded Round Shoulder Electric Guitar W/Case,,Brand New,2499.00,USD,Gelb Music's Reverb Store,https://reverb.com/item/97890957-gibson-j-45-50s-faded-round-shoulder-acoustic-electric-guitar-w-case
83511687,Gibson Miranda Lambert Bluebird Bluebonnet (079),Gibson,Gibson Miranda Lambert Bluebird Bluebonnet (079),,Brand New,4649.00,USD,Willcutt Guitars,https://reverb.com/item/83511687-gibson-miranda-lambert-bluebird-bluebonnet-079
90811570,Gibson L-50 (30-40s) F-Hole Sunburst - Fair,Gibson,Gibson L-50 (30-40s) F-Hole Sunburst - Fair,,Fair,2994.03,USD,The Guitar Boutique,https://reverb.com/item/90811570-gibson-l-50-30-40s-f-hole-sunburst-fair
98242738,2015 Gibson J 45 True Vintage Sunburst,Gibson,Gibson J 45 True Vintage Sunburst,,Very Good,4571.41,USD,Guitarox,https://reverb.com/item/98242738-2015-gibson-j-45-true-vintage-sunburst
93518487,GIBSON - L-00 ROSEWOOD 12-FRET ROSEWOOD BURST,Gibson,GIBSON - L-00 ROSEWOOD 12-FRET ROSEWOOD BURST,,Brand New,4131.39,USD,Hurricane Music,https://reverb.com/item/93518487-gibson-l-00-rosewood-12-fret-rosewood-burst
94764834,GIBSON - 1942 BANNER SOUTHERN JUMBO VINTAGE SUNBURST,Gibson,GIBSON - BANNER SOUTHERN JUMBO VINTAGE SUNBURST,,Brand New,5382.84,USD,Hurricane Music,https://reverb.com/item/94764834-gibson-1942-banner-southern-jumbo-vintage-sunburst
96463094,Gibson Gibson Super 400 Johnny Smith Style 1976 Tobacco Burst,Gibson,Gibson Super 400 Johnny Smith Style 1976 Tobacco Burst,,Very Good,11500.00,USD,Miami Vintage Guitars Inc,https://reverb.com/item/96463094-gibson-gibson-super-400-johnny-smith-style-1976-tobacco-burst
83754324,Gibson SJ-200 Western Classic in Vintage Sunburst #20664003,Gibson,Gibson SJ-200 Western Classic in #20664003,,Brand New,7041.44,USD,Wildwire Guitars,https://reverb.com/item/83754324-gibson-sj-200-western-classic-in-vintage-sunburst-20664003
94786481,Gibson L-00 Standard - Vintage Sunburst,Gibson,Gibson L-00 Standard - Vintage Sunburst,,Brand New,2994.03,USD,Music City Canada,https://reverb.com/item/94786481-gibson-l-00-standard-vintage-sunburst
98821835,Gibson SJ 200 Studio Rosewood Natural,Gibson,Gibson SJ 200 Studio Rosewood Natural,,Mint,3569.89,USD,Sam Ash Music Direct,https://reverb.com/item/98821835-gibson-sj-200-studio-rosewood-natural
75968600,Gibson SJ-200 Studio Rosewood Satin Rosewood Burst (020),Gibson,Gibson SJ-200 Studio Rosewood Satin Rosewood Burst (020),,Brand New,4199.00,USD,Willcutt Guitars,https://reverb.com/item/75968600-gibson-sj-200-studio-rosewood-satin-rosewood-burst-020
83511762,Gibson Custom Shop Hummingbird Custom Koa Antique Natural (075),Gibson,Gibson Custom Shop Hummingbird Custom Koa Antique Natural (075),,Brand New,8999.00,USD,Willcutt Guitars,https://reverb.com/item/83511762-gibson-custom-shop-hummingbird-custom-koa-antique-natural-075
98101673,Gibson SJ-200 Studio Walnut Acoustic-Electric Natural 2025,Gibson,Gibson SJ-200 Studio Walnut -Electric,2025,Good,2419.00,USD,The Music Zoo,https://reverb.com/item/98101673-gibson-sj-200-studio-walnut-acoustic-electric-natural-2025
98821932,Gibson '60s J-45 Original Wine Red,Gibson,Gibson '60s J-45 Original Wine Red,,Mint,2549.89,USD,Sam Ash Music Direct,https://reverb.com/item/98821932-gibson-60s-j-45-original-wine-red
